PeakID (cmd=annotatePeaks.pl reproducible_peaks_blacklist_filtered.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr20-267	chr20	47142946	47143191	+	1	NA	TTS (ENST00000458636.2)	protein_coding-TTS (ENST00000458636.2)	18632	ENST00000400363.2	ENSG00000215450	ENST00000400363			ENSG00000215450			processed_pseudogene
chr11-42	chr11	36510198	36510281	+	1	NA	promoter-TSS (ENST00000348124.5)	protein_coding-promoter-TSS (ENST00000348124.5)	17	ENST00000348124.5	ENSG00000175104	ENST00000526995			TRAF6			protein_coding
chr8-7	chr8	127800766	127801049	+	1	NA	intron (ENST00000665372.1, intron 2 of 3)	lncRNA-intron (ENST00000504719.7, intron 1 of 3)	4874	ENST00000523068.2	ENSG00000249859	ENST00000654369			PVT1			lncRNA
chr3-184	chr3	9952270	9952499	+	1	NA	promoter-TSS (ENST00000295984.7)	protein_coding-promoter-TSS (ENST00000295984.7)	6	ENST00000411976.2	ENSG00000163704	ENST00000707136			PRRT3			protein_coding
chr20-1095	chr20	41693389	41693640	+	1	NA	intron (ENST00000686898.1, intron 1 of 1)	lncRNA-intron (ENST00000685138.2, intron 1 of 1)	-8423	ENST00000516577.1	ENSG00000252386	ENST00000516577			RNU6-1018P			snRNA
chr9-402	chr9	111631155	111631283	+	1	NA	promoter-TSS (ENST00000313525.4)	protein_coding-promoter-TSS (ENST00000313525.4)	70	ENST00000374304.1	ENSG00000290837	ENST00000536054			LRRC37A5P			lncRNA
chr1-505	chr1	155308516	155308816	+	1	NA	promoter-TSS (ENST00000356657.10)	protein_coding-promoter-TSS (ENST00000356657.10)	-82	ENST00000611010.4	ENSG00000160752	ENST00000471117			FDPS			protein_coding
chr8-335	chr8	142739334	142739619	+	1	NA	Intergenic	Intergenic	2930	ENST00000246515.2	ENSG00000126233	ENST00000246515			SLURP1			protein_coding
chr17-77	chr17	68290303	68290592	+	1	NA	intron (ENST00000582867.1, intron 1 of 4)	protein_coding-intron (ENST00000327268.8, intron 1 of 6)	669	ENST00000327268.8	ENSG00000108932	ENST00000582867			SLC16A6			protein_coding
chr19-149	chr19	57935222	57935518	+	1	NA	promoter-TSS (ENST00000396147.6)	protein_coding-promoter-TSS (ENST00000396147.6)	4	ENST00000600353.1	ENSG00000196724	ENST00000425570			ZNF418			protein_coding
chr16-140	chr16	25257611	25257748	+	1	NA	promoter-TSS (ENST00000565590.1)	protein_coding-promoter-TSS (ENST00000565590.1)	-122	ENST00000569150.1	ENSG00000155592	ENST00000565590			ZKSCAN2			protein_coding
chr3-98	chr3	142117182	142117464	+	1	NA	intron (ENST00000495095.6, intron 1 of 3)	protein_coding-intron (ENST00000464782.5, intron 1 of 3)	9047	ENST00000467634.1	ENSG00000114126	ENST00000464782			TFDP2			protein_coding
chr19-19	chr19	48330153	48330396	+	1	NA	TTS (ENST00000594198.1)	protein_coding-TTS (ENST00000594198.1)	1004	ENST00000597057.1	ENSG00000142227	ENST00000596315			EMP3			protein_coding
chr3-34	chr3	107999542	107999815	+	1	NA	Intergenic	Intergenic	37844	ENST00000652445.1	ENSG00000279277	ENST00000651058			ENSG00000279277			lncRNA
chr11-368	chr11	118892523	118892764	+	1	NA	intron (ENST00000292174.5, intron 1 of 1)	protein_coding-intron (ENST00000292174.5, intron 1 of 1)	-4901	ENST00000498872.2	ENSG00000245869	ENST00000498872			ENSG00000245869			lncRNA
chr16-229	chr16	1002840	1003090	+	1	NA	Intergenic	Intergenic	-4930	ENST00000711623.1	ENSG00000260496	ENST00000711623			ENSG00000260496			lncRNA
chr19-220	chr19	49363776	49363919	+	1	NA	promoter-TSS (ENST00000221498.7)	protein_coding-promoter-TSS (ENST00000221498.7)	-30	ENST00000221498.7	ENSG00000104901	ENST00000596402			DKKL1			protein_coding
chr5-212	chr5	180831093	180831236	+	1	NA	promoter-TSS (ENST00000501937.2)	lncRNA-promoter-TSS (ENST00000501937.2)	-8	ENST00000661444.1	ENSG00000245060	ENST00000661810			LINC00847			lncRNA
chr14-196	chr14	30559090	30559240	+	1	NA	promoter-TSS (ENST00000206595.11)	protein_coding-promoter-TSS (ENST00000206595.11)	5	ENST00000552488.1	ENSG00000092140	ENST00000552488			G2E3			protein_coding
chr5-86	chr5	139561315	139561350	+	1	NA	promoter-TSS (ENST00000398733.8)	protein_coding-promoter-TSS (ENST00000398733.8)	-7	ENST00000398733.8	ENSG00000131508	ENST00000398733			UBE2D2			protein_coding
chr14-89	chr14	64540356	64540516	+	1	NA	promoter-TSS (ENST00000247207.7)	protein_coding-promoter-TSS (ENST00000247207.7)	-68	ENST00000554918.1	ENSG00000259116	ENST00000554918			HSPA2-AS1			lncRNA
chr17-493	chr17	59853247	59853258	+	1	NA	Intergenic	Intergenic	-5708	ENST00000364654.1	ENSG00000201524	ENST00000364654			RNU6-450P			snRNA
chr2-258	chr2	11512761	11513059	+	1	NA	intron (ENST00000628795.2, intron 1 of 2)	protein_coding-intron (ENST00000628795.2, intron 1 of 2)	-4487	ENST00000364740.1	ENSG00000201610	ENST00000364740			RNA5SP84			rRNA_pseudogene
chr7-108	chr7	882607	882741	+	1	NA	promoter-TSS (ENST00000407192.5)	protein_coding-promoter-TSS (ENST00000407192.5)	-869	ENST00000407192.5	ENSG00000239857	ENST00000407192			GET4			protein_coding
chr12-164-2	chr12	53371625	53371670	+	1	NA	Intergenic	Intergenic	-8529	ENST00000327443.9	ENSG00000185591	ENST00000551969			SP1			protein_coding
chr11-67	chr11	74948960	74949254	+	1	NA	promoter-TSS (ENST00000263672.11)	protein_coding-promoter-TSS (ENST00000263672.11)	-3	ENST00000531852.5	ENSG00000166435	ENST00000530562			XRRA1			protein_coding
chr11-155	chr11	73227936	73228178	+	1	NA	exon (ENST00000311131.6, exon 2 of 3)	protein_coding-exon (ENST00000311131.6, exon 2 of 3)	9600	ENST00000393596.2	ENSG00000175591	ENST00000393597			P2RY2			protein_coding
chr10-194	chr10	133278532	133278779	+	1	NA	TTS (ENST00000252936.8)	protein_coding-TTS (ENST00000252936.8)	-1787	ENST00000485491.6	ENSG00000151651	ENST00000485491			ADAM8			protein_coding
chr2-393	chr2	20446966	20447183	+	1	NA	promoter-TSS (ENST00000272233.6)	protein_coding-promoter-TSS (ENST00000272233.6)	0	ENST00000272233.6	ENSG00000143878	ENST00000272233			RHOB			protein_coding
chr17-629	chr17	79814922	79815203	+	1	NA	Intergenic	Intergenic	-4021	ENST00000667764.1	ENSG00000262772	ENST00000576963			LINC01977			lncRNA
chr10-133	chr10	28925436	28925733	+	1	NA	intron (ENST00000646289.1, intron 3 of 7)	lncRNA-intron (ENST00000643204.1, intron 6 of 9)	-26100	ENST00000480465.1	ENSG00000229605	ENST00000480465			RPL21P93			processed_pseudogene
chr15-91	chr15	90930078	90930292	+	1	NA	promoter-TSS (ENST00000394275.7)	protein_coding-promoter-TSS (ENST00000394275.7)	5	ENST00000461266.5	ENSG00000140553	ENST00000495068			UNC45A			protein_coding
chr14-63	chr14	60092143	60092432	+	1	NA	promoter-TSS (ENST00000554123.1)	lncRNA-promoter-TSS (ENST00000554123.1)	101	ENST00000555569.1	ENSG00000126773	ENST00000555740			PCNX4			protein_coding
chr17-1083	chr17	28227652	28227908	+	1	NA	TTS (ENST00000315776.4)	transcribed_unprocessed_pseudogene-TTS (ENST00000315776.4)	474	ENST00000315776.4	ENSG00000237575	ENST00000315776			PYY2			transcribed_unprocessed_pseudogene
chr1-548	chr1	205631960	205632221	+	1	NA	promoter-TSS (ENST00000289703.8)	protein_coding-promoter-TSS (ENST00000289703.8)	-79	ENST00000357992.9	ENSG00000158711	ENST00000617725			ELK4			protein_coding
chr1-485	chr1	145878085	145878250	+	1	NA	intron (ENST00000355594.9, intron 3 of 13)	protein_coding-intron (ENST00000355594.9, intron 3 of 13)	7699	ENST00000355594.9	ENSG00000198483	ENST00000544626			ANKRD35			protein_coding
chr16-121	chr16	30104571	30104834	+	1	NA	TTS (ENST00000360688.3)	protein_coding-TTS (ENST00000360688.3)	-2973	ENST00000566190.1	ENSG00000261367	ENST00000566190			ENSG00000261367			lncRNA
chr20-177	chr20	53594609	53594893	+	1	NA	promoter-TSS (ENST00000371471.7)	protein_coding-promoter-TSS (ENST00000371471.7)	-912	ENST00000371471.7	ENSG00000171940	ENST00000302342			ZNF217			protein_coding
chr12-99	chr12	70243292	70243587	+	1	NA	promoter-TSS (ENST00000229195.8)	protein_coding-promoter-TSS (ENST00000229195.8)	1	ENST00000548741.5	ENSG00000111596	ENST00000549705			CNOT2			protein_coding
chr9-378	chr9	95382474	95382714	+	1	NA	intron (ENST00000636777.1, intron 1 of 6)	protein_coding-intron (ENST00000636777.1, intron 1 of 6)	25068	ENST00000603533.1	ENSG00000271384	ENST00000603533			ENSG00000271384			lncRNA
chr12-72	chr12	75236330	75236563	+	1	NA	intron (ENST00000549953.1, intron 1 of 4)	lncRNA-intron (ENST00000548779.1, intron 1 of 1)	1406	ENST00000549953.1	ENSG00000254451	ENST00000549953			CAPS2-AS1			lncRNA
chr1-666	chr1	53838192	53838390	+	1	NA	promoter-TSS (ENST00000371429.4)	protein_coding-promoter-TSS (ENST00000371429.4)	5	ENST00000371429.4	ENSG00000058804	ENST00000371429			NDC1			protein_coding
chr8-80	chr8	100950320	100950559	+	1	NA	exon (ENST00000395951.7, exon 1 of 6)	protein_coding-exon (ENST00000395951.7, exon 1 of 6)	101	ENST00000517727.5	ENSG00000164924	ENST00000523938			YWHAZ			protein_coding
chr8-423	chr8	100157916	100158046	+	1	NA	promoter-TSS (ENST00000251809.4)	protein_coding-promoter-TSS (ENST00000251809.4)	-54	ENST00000251809.4	ENSG00000104450	ENST00000523302			SPAG1			protein_coding
chr3-25	chr3	64497982	64498266	+	1	NA	Intergenic	Intergenic	-13631	ENST00000391038.1	ENSG00000212340	ENST00000391038			RNU6-739P			snRNA
chr15-300	chr15	41930313	41930593	+	1	NA	intron (ENST00000220325.9, intron 3 of 5)	protein_coding-intron (ENST00000220325.9, intron 3 of 5)	9036	ENST00000564168.2	ENSG00000259883	ENST00000564168			EHD4-AS1			lncRNA
chr15-334	chr15	61750537	61750776	+	1	NA	Intergenic	Intergenic	20806	ENST00000561386.1	ENSG00000259284	ENST00000662940			LINC02349			lncRNA
chr20-18	chr20	53594048	53594149	+	1	NA	promoter-TSS (ENST00000371471.7)	protein_coding-promoter-TSS (ENST00000371471.7)	-259	ENST00000371471.7	ENSG00000171940	ENST00000302342			ZNF217			protein_coding
chr20-886	chr20	62644112	62644378	+	1	NA	promoter-TSS (ENST00000370520.3)	lncRNA-promoter-TSS (ENST00000370520.3)	-941	ENST00000370520.3	ENSG00000167046	ENST00000370520			ENSG00000167046			lncRNA
chr3-937	chr3	196108434	196108655	+	1	NA	Intergenic	Intergenic	-26391	ENST00000698293.1	ENSG00000072274	ENST00000426789			TFRC			protein_coding
chr2-4	chr2	64866854	64867152	+	1	NA	Intergenic	Intergenic	-3377	ENST00000445865.1	ENSG00000234572	ENST00000445865			LINC01800			lncRNA
chr22-77	chr22	23478271	23478558	+	1	NA	intron (ENST00000320372.9, intron 4 of 11)	lncRNA-intron (ENST00000320372.9, intron 4 of 11)	8566	ENST00000320372.9	ENSG00000178248	ENST00000320372			FAM230I			lncRNA
chr10-127	chr10	12605748	12606033	+	1	NA	intron (ENST00000619168.5, intron 2 of 10)	protein_coding-intron (ENST00000378845.5, intron 2 of 9)	27137	ENST00000582492.1	ENSG00000263584	ENST00000582492			MIR4480			miRNA
chr17-88	chr17	50055968	50056239	+	1	NA	promoter-TSS (ENST00000007722.11)	protein_coding-promoter-TSS (ENST00000007722.11)	-7	ENST00000320031.13	ENSG00000005884	ENST00000507771			ITGA3			protein_coding
chr1-368	chr1	203267389	203267682	+	1	NA	intron (ENST00000460619.1, intron 1 of 2)	protein_coding-intron (ENST00000460619.1, intron 1 of 2)	5274	ENST00000484834.5	ENSG00000133063	ENST00000503786			CHIT1			protein_coding
chr16-105	chr16	85524559	85524756	+	1	NA	intron (ENST00000637419.1, intron 2 of 2)	protein_coding-intron (ENST00000637419.1, intron 2 of 2)	-31310	ENST00000635906.1	ENSG00000131149	ENST00000438180			GSE1			protein_coding
chr16-154	chr16	75064538	75064786	+	1	NA	intron (ENST00000564320.1, intron 2 of 5)	protein_coding-intron (ENST00000320619.10, intron 1 of 5)	-30482	ENST00000579084.1	ENSG00000186187	ENST00000579084			ZNRF1			protein_coding
chr11-289	chr11	63868841	63869096	+	1	NA	promoter-TSS (ENST00000540169.5)	protein_coding-promoter-TSS (ENST00000540169.5)	-308	ENST00000540169.5	ENSG00000072518	ENST00000678662			MARK2			protein_coding
chr7-68	chr7	47475121	47475419	+	1	NA	intron (ENST00000705350.1, intron 4 of 30)	protein_coding-intron (ENST00000311160.14, intron 4 of 30)	6015	ENST00000415929.5	ENSG00000136205	ENST00000705474			TNS3			protein_coding
chr5-61	chr5	139637494	139637747	+	1	NA	Intergenic	Intergenic	7382	ENST00000606683.1	ENSG00000272255	ENST00000606683			ENSG00000272255			lncRNA
chr7-216	chr7	113743168	113743422	+	1	NA	Intergenic	Intergenic	175701	ENST00000284602.1	ENSG00000154415	ENST00000449795			PPP1R3A			protein_coding
chr8-35	chr8	100722194	100722247	+	1	NA	promoter-TSS (ENST00000318607.10)	protein_coding-promoter-TSS (ENST00000318607.10)	-35	ENST00000677478.1	ENSG00000070756	ENST00000518293			PABPC1			protein_coding
chr16-48	chr16	2858013	2858301	+	1	NA	promoter-TSS (ENST00000161006.8)	protein_coding-promoter-TSS (ENST00000161006.8)	-3	ENST00000571228.1	ENSG00000005001	ENST00000571228			PRSS22			protein_coding
chr16-627	chr16	72124844	72125103	+	1	NA	promoter-TSS (ENST00000537792.5)	protein_coding-promoter-TSS (ENST00000537792.5)	-120	ENST00000537792.5	ENSG00000118557	ENST00000237353			PMFBP1			protein_coding
chr7-9	chr7	2524226	2524469	+	1	NA	intron (ENST00000493850.1, intron 1 of 5)	protein_coding-intron (ENST00000222725.10, intron 1 of 7)	754	ENST00000493850.1	ENSG00000106003	ENST00000338732			LFNG			protein_coding
chr4-135	chr4	26583881	26584163	+	1	NA	promoter-TSS (ENST00000264866.9)	protein_coding-promoter-TSS (ENST00000264866.9)	-62	ENST00000264866.9	ENSG00000109680	ENST00000264866			TBC1D19			protein_coding
chr16-314	chr16	1470979	1471217	+	1	NA	intron (ENST00000563223.1, intron 1 of 1)	protein_coding-intron (ENST00000262318.12, intron 1 of 23)	858	ENST00000569851.6	ENSG00000103249	ENST00000699950			CLCN7			protein_coding
chr15-188	chr15	38251955	38252113	+	1	NA	promoter-TSS (ENST00000299084.9)	protein_coding-promoter-TSS (ENST00000299084.9)	-802	ENST00000299084.9	ENSG00000166068	ENST00000561317			SPRED1			protein_coding
chr9-208	chr9	129334360	129334549	+	1	NA	intron (ENST00000661745.1, intron 1 of 5)	lncRNA-intron (ENST00000427109.2, intron 2 of 4)	535	ENST00000661745.1	ENSG00000233901	ENST00000666671			LINC01503			lncRNA
chr20-1113	chr20	47283161	47283175	+	1	NA	intron (ENST00000619049.4, intron 9 of 14)	protein_coding-intron (ENST00000262975.8, intron 10 of 23)	15732	ENST00000467200.6	ENSG00000101040	ENST00000611941			ZMYND8			protein_coding
chr12-39	chr12	52148732	52149028	+	1	NA	Intergenic	Intergenic	-15235	ENST00000640420.1	ENSG00000258279	ENST00000665995			LINC00592			lncRNA
chr15-136	chr15	50228818	50229051	+	1	NA	intron (ENST00000544960.1, intron 8 of 10)	protein_coding-intron (ENST00000267842.10, intron 7 of 9)	7046	ENST00000363735.1	ENSG00000200605	ENST00000363735			Y_RNA			misc_RNA
chr15-83	chr15	72474069	72474229	+	1	NA	promoter-TSS (ENST00000379887.9)	protein_coding-promoter-TSS (ENST00000379887.9)	60	ENST00000562573.1	ENSG00000261423	ENST00000701237			TMEM202-AS1			lncRNA
chr12-167	chr12	54279494	54279694	+	1	NA	promoter-TSS (ENST00000546500.5)	protein_coding-promoter-TSS (ENST00000546500.5)	104	ENST00000692885.2	ENSG00000289154	ENST00000692885			ENSG00000289154			lncRNA
chr6-33	chr6	35259491	35259791	+	1	NA	promoter-TSS (ENST00000339411.5)	protein_coding-promoter-TSS (ENST00000339411.5)	37	ENST00000460229.1	ENSG00000065029	ENST00000373953			ZNF76			protein_coding
chr1-715	chr1	109725599	109725843	+	1	NA	promoter-TSS (ENST00000431955.1)	lncRNA-promoter-TSS (ENST00000431955.1)	-99	ENST00000431955.1	ENSG00000241720	ENST00000431955			ENSG00000241720			lncRNA
chr17-41	chr17	60135650	60135820	+	1	NA	promoter-TSS (ENST00000586143.1)	lncRNA-promoter-TSS (ENST00000586143.1)	8	ENST00000667343.2	ENSG00000267248	ENST00000590744			ENSG00000267248			lncRNA
chr14-284	chr14	105301471	105301714	+	1	NA	promoter-TSS (ENST00000379937.6)	protein_coding-promoter-TSS (ENST00000379937.6)	-314	ENST00000548421.2	ENSG00000185024	ENST00000635152			BRF1			protein_coding
chr17-557	chr17	61369996	61370105	+	1	NA	intron (ENST00000592702.5, intron 3 of 3)	protein_coding-intron (ENST00000390652.9, intron 24 of 24)	-7780	ENST00000587872.1	ENSG00000141376	ENST00000626960			BCAS3			protein_coding
chr3-16	chr3	8963313	8963571	+	1	NA	promoter-TSS (ENST00000264926.7)	protein_coding-promoter-TSS (ENST00000264926.7)	1	ENST00000469793.1	ENSG00000070950	ENST00000495087			RAD18			protein_coding
chr3-373	chr3	180989636	180989893	+	1	NA	promoter-TSS (ENST00000382564.8)	protein_coding-promoter-TSS (ENST00000382564.8)	-1	ENST00000485675.2	ENSG00000205981	ENST00000491873			DNAJC19			protein_coding
chr16-482	chr16	3106423	3106675	+	1	NA	promoter-TSS (ENST00000570700.3)	lncRNA-promoter-TSS (ENST00000570700.3)	-213	ENST00000570700.3	ENSG00000263011	ENST00000570700			ENSG00000263011			lncRNA
chr9-39	chr9	88076819	88077099	+	1	NA	promoter-TSS (ENST00000661542.1)	lncRNA-promoter-TSS (ENST00000661542.1)	16	ENST00000661542.1	ENSG00000287750	ENST00000688975			LINC03026			lncRNA
chr6-127	chr6	41072498	41072701	+	1	NA	promoter-TSS (ENST00000341376.11)	protein_coding-promoter-TSS (ENST00000341376.11)	-8	ENST00000479950.5	ENSG00000124596	ENST00000424266			OARD1			protein_coding
chr9-72	chr9	113401143	113401413	+	1	NA	promoter-TSS (ENST00000409155.8)	protein_coding-promoter-TSS (ENST00000409155.8)	6	ENST00000494848.1	ENSG00000148218	ENST00000452726			ALAD			protein_coding
chr20-1741	chr20	48052206	48052247	+	1	NA	exon (ENST00000701169.1, exon 2 of 4)	lncRNA-exon (ENST00000701169.1, exon 2 of 4)	-21643	ENST00000622092.1	ENSG00000276923	ENST00000622092			LINC03079			lncRNA
chr4-111	chr4	121823810	121824061	+	1	NA	promoter-TSS (ENST00000274026.10)	protein_coding-promoter-TSS (ENST00000274026.10)	-52	ENST00000274026.10	ENSG00000145386	ENST00000274026			CCNA2			protein_coding
chr3-670	chr3	53270156	53270453	+	1	NA	Intergenic	Intergenic	-14252	ENST00000483706.1	ENSG00000163931	ENST00000487660			TKT			protein_coding
chr17-1404	chr17	80261463	80261692	+	1	NA	intron (ENST00000582970.6, intron 1 of 67)	protein_coding-intron (ENST00000319921.4, intron 1 of 16)	707	ENST00000319921.4	ENSG00000173821	ENST00000582970			RNF213			protein_coding
chr17-227	chr17	43483620	43483838	+	1	NA	promoter-TSS (ENST00000262415.8)	protein_coding-promoter-TSS (ENST00000262415.8)	-136	ENST00000592258.5	ENSG00000067596	ENST00000592258			DHX8			protein_coding
chr7-227	chr7	141551306	141551550	+	1	NA	promoter-TSS (ENST00000473247.5)	protein_coding-promoter-TSS (ENST00000473247.5)	-4	ENST00000648395.1	ENSG00000006530	ENST00000649365			AGK			protein_coding
chr2-168	chr2	9555911	9556208	+	1	NA	promoter-TSS (ENST00000310823.8)	protein_coding-promoter-TSS (ENST00000310823.8)	160	ENST00000607241.1	ENSG00000271855	ENST00000607241			ENSG00000271855			lncRNA
chr8-24	chr8	128176879	128177114	+	1	NA	intron (ENST00000651587.1, intron 10 of 10)	lncRNA-intron (ENST00000650846.1, intron 3 of 3)	26880	ENST00000408334.1	ENSG00000221261	ENST00000408334			MIR1208			miRNA
chr12-28	chr12	75330257	75330487	+	1	NA	promoter-TSS (ENST00000409445.8)	protein_coding-promoter-TSS (ENST00000409445.8)	-48	ENST00000699294.1	ENSG00000180881	ENST00000486196			CAPS2			protein_coding
chr3-235	chr3	100104141	100104413	+	1	NA	intron (ENST00000468533.1, intron 2 of 2)	protein_coding-intron (ENST00000463526.1, intron 2 of 3)	9987	ENST00000468533.1	ENSG00000168386	ENST00000383694			FILIP1L			protein_coding
chrX-72	chrX	123960220	123960464	+	1	NA	promoter-TSS (ENST00000218089.13)	protein_coding-promoter-TSS (ENST00000218089.13)	130	ENST00000394477.5	ENSG00000101972	ENST00000455404			STAG2			protein_coding
chrX-39	chrX	13669307	13669575	+	1	NA	intron (ENST00000467590.1, intron 3 of 4)	protein_coding-intron (ENST00000467590.1, intron 3 of 4)	3365	ENST00000463321.1	ENSG00000176896	ENST00000463321			TCEANC			protein_coding
chr3-843	chr3	128879397	128879576	+	1	NA	promoter-TSS (ENST00000308982.12)	protein_coding-promoter-TSS (ENST00000308982.12)	-11	ENST00000692357.2	ENSG00000287110	ENST00000653122			ACAD9-DT			lncRNA
chr2-121	chr2	263829	264108	+	1	NA	promoter-TSS (ENST00000272065.10)	protein_coding-promoter-TSS (ENST00000272065.10)	15	ENST00000471948.5	ENSG00000035115	ENST00000451005			SH3YL1			protein_coding
chr1-148	chr1	156054665	156054868	+	1	NA	promoter-TSS (ENST00000368302.3)	protein_coding-promoter-TSS (ENST00000368302.3)	-16	ENST00000368305.9	ENSG00000116586	ENST00000368304			LAMTOR2			protein_coding
chr15-31	chr15	75335905	75336174	+	1	NA	promoter-TSS (ENST00000267935.13)	protein_coding-promoter-TSS (ENST00000267935.13)	-14	ENST00000564815.5	ENSG00000140365	ENST00000564068			COMMD4			protein_coding
chr11-104	chr11	68843762	68844014	+	1	NA	intron (ENST00000561996.1, intron 1 of 2)	protein_coding-intron (ENST00000561996.1, intron 1 of 2)	522	ENST00000561996.1	ENSG00000110090	ENST00000537756			CPT1A			protein_coding
chr2-604	chr2	237501080	237501210	+	1	NA	intron (ENST00000469619.5, intron 2 of 3)	protein_coding-intron (ENST00000264605.8, intron 2 of 15)	-8925	ENST00000477501.5	ENSG00000115648	ENST00000495439			MLPH			protein_coding
chr22-41	chr22	37674975	37675239	+	1	NA	promoter-TSS (ENST00000215909.10)	protein_coding-promoter-TSS (ENST00000215909.10)	-529	ENST00000215909.10	ENSG00000100097	ENST00000425542			LGALS1			protein_coding
